"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"WPSettings.dat"	".dat"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"12"	"0"	"890f05e867d9c21b36bca0f89e1c4f7c"	"unknown"	"r---------"	"/LogicalFileSet1//System Volume Information/WPSettings.dat"
"IndexerVolumeGuid"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"76"	"0"	"700c65740104f6e4c845bbc932af7f16"	"unknown"	"r---------"	"/LogicalFileSet1//System Volume Information/IndexerVolumeGuid"
"64.pdf"	".pdf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"75831"	"0"	"4f4beb420d132418ac922aaa78fa730a"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/64.pdf"
"Process plaintext and generate ciphertext 51.docx"	".docx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"44535"	"0"	"6d67500015815d0b4c6e20fea9be0100"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Process plaintext and generate ciphertext 51.docx"
"Screenshot (51).png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"37083"	"0"	"979508cae81a41c7f27e998da296e5c2"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Screenshot (51).png"
"20240204_121240 - Copy.mp4"	".mp4"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"75022838"	"0"	"145da7da61cceb9b7aaa85b1eb8857d8"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/20240204_121240 - Copy.mp4"
"Screenshot (34).png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"33452"	"0"	"5d74ecae0f36239ece17bcd1f6ac2988"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Screenshot (34).png"
"Screenshot (35).png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"37501"	"0"	"be5345e722add45584143afe6bedd44d"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Screenshot (35).png"
"Screenshot (36).png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"49997"	"0"	"ccfce479667c7ed5bbad6ae3cde61700"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Screenshot (36).png"
"Screenshot (37).png"	".png"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"210067"	"0"	"91546c545cbf687cf676930992e1950d"	"unknown"	"r---------"	"/LogicalFileSet1//HIDDEN/Screenshot (37).png"
"20240204_121240 - Copy.mp4"	".mp4"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"75022838"	"0"	"145da7da61cceb9b7aaa85b1eb8857d8"	"unknown"	"r---------"	"/LogicalFileSet1//files/20240204_121240 - Copy.mp4"
"(EXP4)EXTENDED EUCLIDEAN ALGORITHM.docx"	".docx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"35080"	"0"	"f97b675edadac1f6d237e0c4c3a515ad"	"unknown"	"r---------"	"/LogicalFileSet1//files/(EXP4)EXTENDED EUCLIDEAN ALGORITHM.docx"
"color_pdf (1).pdf"	".pdf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"220881"	"0"	"9555369ac0ddf79bfa4219cf2fce03f2"	"unknown"	"r---------"	"/LogicalFileSet1//files/color_pdf (1).pdf"
"password word.rtf"	".rtf"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"5595412"	"0"	"b2ce9eee7df1ff00266e641e19bfbe65"	"unknown"	"r---------"	"/LogicalFileSet1//files/password word.rtf"
"John-the-Ripper-A-Key-Tool-in-InfoSec.pptx  giri.pptx"	".pptx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"4995875"	"0"	"2e89f01c8033e7a1387c299226f38ec5"	"unknown"	"r---------"	"/LogicalFileSet1//files/John-the-Ripper-A-Key-Tool-in-InfoSec.pptx  giri.pptx"
"autopsy.log.0.lck"	".lck"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"r---------"	"/LogicalFileSet1//hh/Log/autopsy.log.0.lck"
"autopsy.log.0"	".0"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"16093"	"0"	"b391d5d59c6db116f02c0f428d7c435c"	"unknown"	"r---------"	"/LogicalFileSet1//hh/Log/autopsy.log.0"
"write.lock"	".lock"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/write.lock"
"_3.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"580cab8015defe37b23466401a5169d7"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_3.fdm"
"_3.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"122473"	"0"	"00291b014c6a581806b7edf75be9ff89"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_3.fdt"
"_3.tvm"	".tvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"162"	"0"	"51e131798dd1bad8ee464f760af22d05"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_3.tvm"
"_4.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"e26fe9208846cb28da496e1e25c0d596"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4.fdm"
"_4.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"7065379"	"0"	"cdb16484ca8cb49b3565c22491440680"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4.fdt"
"_0.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"25fecb8604e8039f51b98b40b85e0501"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.fdm"
"_0.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"15601250"	"0"	"f5a8518b562aadf5388ddf2884684fe3"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.fdt"
"_4.tvm"	".tvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"162"	"0"	"33e84ab4196a1c3fce1fe3ad10e66e80"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4.tvm"
"_4.tvd"	".tvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"3679575"	"0"	"bde4b0247647248f77fcb0c79bc79ede"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4.tvd"
"_4_Lucene84_0.pos"	".pos"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1409147"	"0"	"bd7b3410e7efb6db96be83103ef2c7c1"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4_Lucene84_0.pos"
"_4.si"	".si"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"543"	"0"	"5a922721fd90e9c8efdea7492dd3f9a5"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_4.si"
"_7.fdm"	".fdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"158"	"0"	"548d9c00328a961aad2a139b481bb9eb"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_7.fdm"
"_3.tvd"	".tvd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"64273"	"0"	"8b450410ee893ad9a14b2c375c2f33ac"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_3.tvd"
"_7.fdt"	".fdt"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"1757948"	"0"	"7fb6826c01a0d20d9cfede218803fd63"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_7.fdt"
"_0.tvm"	".tvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"163"	"0"	"0d16616d9fa2d3d0ba41b6552353dd0c"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.tvm"
