"ResourceID","Title","FileName","Category","Subcategory","RelativePath","SizeMB","Extension"
"RES-001","ShellScripting (2)","ShellScripting (2).pdf","02_LINUX","Bash","02_LINUX\Bash\ShellScripting (2).pdf","0.94",".pdf"
"RES-002","Kali GPT_ Your New Offensive Security Wingman 🐉🔥","Kali GPT_ Your New Offensive Security Wingman 🐉🔥.pdf","02_LINUX","Kali_Linux","02_LINUX\Kali_Linux\Kali GPT_ Your New Offensive Security Wingman 🐉🔥.pdf","0.05",".pdf"
"RES-003","KALI LINUX","KALI LINUX.pdf","02_LINUX","Kali_Linux","02_LINUX\Kali_Linux\KALI LINUX.pdf","0.54",".pdf"
"RES-004","Kali_Linux_0_to_Ethical_Hacking_80_Module_Checklist (2)","Kali_Linux_0_to_Ethical_Hacking_80_Module_Checklist (2).pdf","02_LINUX","Kali_Linux","02_LINUX\Kali_Linux\Kali_Linux_0_to_Ethical_Hacking_80_Module_Checklist (2).pdf","0.03",".pdf"
"RES-005","Kali_Linux_to_Ethical_Hacking_Roadmap","Kali_Linux_to_Ethical_Hacking_Roadmap.pdf","02_LINUX","Kali_Linux","02_LINUX\Kali_Linux\Kali_Linux_to_Ethical_Hacking_Roadmap.pdf","0.09",".pdf"
"RES-006","Linux -1","Linux -1.pdf","02_LINUX","Linux_Command_Line","02_LINUX\Linux_Command_Line\Linux -1.pdf","0.15",".pdf"
"RES-007","Linux","Linux.pdf","02_LINUX","Linux_Command_Line","02_LINUX\Linux_Command_Line\Linux.pdf","24.87",".pdf"
"RES-008","Linux-Cheat-sheet","Linux-Cheat-sheet.pdf","02_LINUX","Linux_Command_Line","02_LINUX\Linux_Command_Line\Linux-Cheat-sheet.pdf","5.73",".pdf"
"RES-009","wc","wc.pdf","02_LINUX","Linux_Command_Line","02_LINUX\Linux_Command_Line\wc.pdf","0.23",".pdf"
"RES-010","LINUX FOR CYBER SECURITY","LINUX FOR CYBER SECURITY.pdf","02_LINUX","Linux_Fundamentals","02_LINUX\Linux_Fundamentals\LINUX FOR CYBER SECURITY.pdf","14.9",".pdf"
"RES-011","Linux server Automation","Linux server Automation.pdf","02_LINUX","Linux_Fundamentals","02_LINUX\Linux_Fundamentals\Linux server Automation.pdf","4.3",".pdf"
"RES-012","Linux","Linux.pdf","02_LINUX","Linux_Fundamentals","02_LINUX\Linux_Fundamentals\Linux.pdf","1.56",".pdf"
"RES-013","Linux_Pentesting_Fundamentals","Linux_Pentesting_Fundamentals.pdf","02_LINUX","Linux_Fundamentals","02_LINUX\Linux_Fundamentals\Linux_Pentesting_Fundamentals.pdf","1.99",".pdf"
"RES-014","Basic Git Commands (For managing repositories)","Basic Git Commands (For managing repositories).pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Basic Git Commands (For managing repositories).pdf","0.5",".pdf"
"RES-015","Network_Security_Part3_Cheatsheets","Network_Security_Part3_Cheatsheets.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Network_Security_Part3_Cheatsheets.pdf","0.01",".pdf"
"RES-016","Network_Security_Starter_Plan_Expanded","Network_Security_Starter_Plan_Expanded.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Network_Security_Starter_Plan_Expanded.pdf","1.44",".pdf"
"RES-017","Networking Essentials for Cybersecurity","Networking Essentials for Cybersecurity.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Networking Essentials for Cybersecurity.pdf","6.54",".pdf"
"RES-018","Networking For Beginners","Networking For Beginners.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Networking For Beginners.pdf","2.98",".pdf"
"RES-019","Networking","Networking.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\Networking.pdf","3.01",".pdf"
"RES-020","OSI-MODEL-Notes-Beginners","OSI-MODEL-Notes-Beginners.pdf","03_NETWORKING","Networking_Fundamentals","03_NETWORKING\Networking_Fundamentals\OSI-MODEL-Notes-Beginners.pdf","18.59",".pdf"
"RES-021","Wireshark ","Wireshark .pdf","03_NETWORKING","Wireshark","03_NETWORKING\Wireshark\Wireshark .pdf","3.48",".pdf"
"RES-022","Wireshark","Wireshark.pdf","03_NETWORKING","Wireshark","03_NETWORKING\Wireshark\Wireshark.pdf","1.62",".pdf"
"RES-023","bug bounty ","bug bounty .pdf","04_WEB_SECURITY","Web_Application_Security","04_WEB_SECURITY\Web_Application_Security\bug bounty .pdf","1.5",".pdf"
"RES-024","bug bounty automation ","bug bounty automation .pdf","04_WEB_SECURITY","Web_Application_Security","04_WEB_SECURITY\Web_Application_Security\bug bounty automation .pdf","1.04",".pdf"
"RES-025","bug bounty hunting guide ","bug bounty hunting guide .pdf","04_WEB_SECURITY","Web_Application_Security","04_WEB_SECURITY\Web_Application_Security\bug bounty hunting guide .pdf","4.37",".pdf"
"RES-026","SQLI","SQLI.pdf","04_WEB_SECURITY","Web_Application_Security","04_WEB_SECURITY\Web_Application_Security\SQLI.pdf","0.73",".pdf"
